"filename", "language", "C++", "CMake", "HTML", "Dart", "YAML", "Swift", "JSON", "Java Properties", "XML", "Markdown", "comment", "blank", "total"
"d:\ResQLink\ResQLink\resqlink_frontend\lib\services\trip_service.dart", "Dart", 0, 0, 0, 191, 0, 0, 0, 0, 0, 0, 21, 23, 235
"d:\ResQLink\ResQLink\resqlink_frontend\lib\theme\app_theme.dart", "Dart", 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 26, 25, 233
"d:\ResQLink\ResQLink\resqlink_frontend\lib\widgets\animated_press_button.dart", "Dart", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 3, 9, 58
"d:\ResQLink\ResQLink\resqlink_frontend\lib\widgets\common.dart", "Dart", 0, 0, 0, 662, 0, 0, 0, 0, 0, 0, 59, 66, 787
"d:\ResQLink\ResQLink\resqlink_frontend\lib\widgets\haptics.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 9, 6, 27
"d:\ResQLink\ResQLink\resqlink_frontend\lib\widgets\shimmer_widgets.dart", "Dart", 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 7, 11, 151
"d:\ResQLink\ResQLink\resqlink_frontend\linux\CMakeLists.txt", "CMake", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 129
"d:\ResQLink\ResQLink\resqlink_frontend\linux\flutter\CMakeLists.txt", "CMake", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"d:\ResQLink\ResQLink\resqlink_frontend\linux\flutter\generated_plugin_registrant.cc", "C++", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 24
"d:\ResQLink\ResQLink\resqlink_frontend\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\ResQLink\ResQLink\resqlink_frontend\linux\flutter\generated_plugins.cmake", "CMake", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"d:\ResQLink\ResQLink\resqlink_frontend\linux\runner\CMakeLists.txt", "CMake", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\ResQLink\ResQLink\resqlink_frontend\linux\runner\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\ResQLink\ResQLink\resqlink_frontend\linux\runner\my_application.cc", "C++", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 29, 149
"d:\ResQLink\ResQLink\resqlink_frontend\linux\runner\my_application.h", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 22
"d:\ResQLink\ResQLink\resqlink_frontend\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 4, 25
"d:\ResQLink\ResQLink\resqlink_frontend\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"d:\ResQLink\ResQLink\resqlink_frontend\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"d:\ResQLink\ResQLink\resqlink_frontend\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 1, 69
"d:\ResQLink\ResQLink\resqlink_frontend\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"d:\ResQLink\ResQLink\resqlink_frontend\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"d:\ResQLink\ResQLink\resqlink_frontend\pubspec.yaml", "YAML", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 5, 39
"d:\ResQLink\ResQLink\resqlink_frontend\test\widget_test.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\ResQLink\ResQLink\resqlink_frontend\ui_of_customer_profile.dart", "Dart", 0, 0, 0, 269, 0, 0, 0, 0, 0, 0, 8, 20, 297
"d:\ResQLink\ResQLink\resqlink_frontend\ui_of_donor_profile.dart", "Dart", 0, 0, 0, 392, 0, 0, 0, 0, 0, 0, 14, 27, 433
"d:\ResQLink\ResQLink\resqlink_frontend\web\index.html", "HTML", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 23, 5, 47
"d:\ResQLink\ResQLink\resqlink_frontend\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 36
"d:\ResQLink\ResQLink\resqlink_frontend\windows\CMakeLists.txt", "CMake", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"d:\ResQLink\ResQLink\resqlink_frontend\windows\flutter\CMakeLists.txt", "CMake", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"d:\ResQLink\ResQLink\resqlink_frontend\windows\flutter\generated_plugin_registrant.cc", "C++", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 30
"d:\ResQLink\ResQLink\resqlink_frontend\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\ResQLink\ResQLink\resqlink_frontend\windows\flutter\generated_plugins.cmake", "CMake", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"d:\ResQLink\ResQLink\resqlink_frontend\windows\runner\CMakeLists.txt", "CMake", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"d:\ResQLink\ResQLink\resqlink_frontend\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"d:\ResQLink\ResQLink\resqlink_frontend\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\ResQLink\ResQLink\resqlink_frontend\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\ResQLink\ResQLink\resqlink_frontend\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\ResQLink\ResQLink\resqlink_frontend\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"d:\ResQLink\ResQLink\resqlink_frontend\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\ResQLink\ResQLink\resqlink_frontend\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"d:\ResQLink\ResQLink\resqlink_frontend\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 584, 472, 567, 13438, 37, 73, 248, 7, 494, 3, 976, 1464, 18363
